Horodateur;Etes-vous :;Quel âge avez-vous ? (Juste mettre le nombre);De quelle province venez-vous ?;Habitez-vous :;Quel est votre code postal ?;En moyenne, combien de kilomètres effectuez-vous en voiture sur une année ?  [Avant la Covid-19];En moyenne, combien de kilomètres effectuez-vous en voiture sur une année ?  [Après la Covid-19];Depuis la Covid-19, vos déplacements en voiture;Quel est votre plus haut niveau d'étude ?;Vous êtes :;Travaillez-vous dans le secteur de l'énergie et/ou dans le domaine de l'environnement ?;Comment décririez-vous le revenu actuel de votre ménage ?;Avez-vous déjà rencontré un des problèmes suivants : [Inondation];Avez-vous déjà rencontré un des problèmes suivants : [Incendie];Avez-vous déjà rencontré un des problèmes suivants : [Pollution];Avant de participer à cette enquête, aviez-vous déjà entendu parler de l'utilisation de l'hydrogène dans le contexte de la production d'énergie ?;Evaluez votre connaissance à ce propos;Que pensez-vous de l'utilisation de l'hydrogène comme solution possible aux défis énergétiques et environnementaux ?;Avez-vous déjà pensé à acheter une voiture à hydrogène ? ;Comparées aux voitures à hydrogène, je pense que [Les voitures conventionnelles sont];Comparées aux voitures à hydrogène, je pense que [Les voitures hybrides sont];Comparées aux voitures à hydrogène, je pense que [Les voitures électriques sont];Comparées aux voitures à hydrogène, je pense que [Les voitures au gaz naturel comprimé (GNC) ou au gaz naturel liquéfié (GNL) sont]; [Etre mieux informé.e sur ce sujet]; [Pouvoir contribuer à l'élaboration des lois associées]; [Prix d'achat de la voiture à hydrogène]; [Prix de l'hydrogène]; [Prix des autres carburants]; [Sécurité de l'hydrogène]; [La présence de stations à hydrogène]; [Autonomie]; [Diminution des importations de combustibles]; [Réduction des émissions de gaz à effet de serre à l'origine du changement climatique]; [Réduction de la pollution atmosphérique locale dans les zones urbaines]; [Création d'opportunités pour les industries belges afin d'accroître leur capacité à fournir des technologies innovantes];"A quel degré seriez-vous intéressé.e par l'achat d'une voiture à hydrogène si ... (sur une échelle de ""Pas du tout intéressé.e"" à ""Fortement intéressé.e"") [tout est égal (prix, confort, maintenance,..) aux autres sortes de voiture]";"A quel degré seriez-vous intéressé.e par l'achat d'une voiture à hydrogène si ... (sur une échelle de ""Pas du tout intéressé.e"" à ""Fortement intéressé.e"") [des subsides sont fournis à l'achat]";"A quel degré seriez-vous intéressé.e par l'achat d'une voiture à hydrogène si ... (sur une échelle de ""Pas du tout intéressé.e"" à ""Fortement intéressé.e"") [les voitures à diesel sont bannies des villes]";"A quel degré seriez-vous intéressé.e par l'achat d'une voiture à hydrogène si ... (sur une échelle de ""Pas du tout intéressé.e"" à ""Fortement intéressé.e"") [les voitures à essence sont bannies des villes]";Si une limitation de kilomètres par an pouvant être réalisés par des voitures polluantes (diesel/essence) existait, à quelle limitation passeriez-vous à une voiture plus propre ? 
1/4/2022 0:30:32;Homme;23;Liège;En périphérie;4802;Moins de 10 000;Moins de 10 000;Ont diminué;Master;Etudiant;Non;Je vis très confortablement avec mon revenu actuel;Oui;Non;Oui;Oui;5;4;Non;Une moins bonne solution;Une moins bonne solution;Une solution égale;Une moins bonne solution;Moyennement important;Moyennement important;Fort important;Fort important;Très important;Très important;Fort important;Fort important;Fort important;Très important;Très important;Très important;Fortement intéressé.e;Un peu intéressé.e;Un peu intéressé.e;Un peu intéressé.e;20 000 km
1/4/2022 0:44:26;Homme;23;Liège;En centre ville;4000;Moins de 10 000;Entre 10 000 et 15 000;sont restés stables;Master;Etudiant;Oui;Je vis confortablement avec mon revenu actuel;Oui;Non;Non;Oui;4;2;Non;Une solution égale;Une moins bonne solution;Une meilleure solution;Une solution égale;Fort important;Pas du tout important;Peu important;Moyennement important;Moyennement important;Pas du tout important;Pas du tout important;Moyennement important;Très important;Très important;Très important;Pas du tout important;Moyennement intéressé.e;Moyennement intéressé.e;Un peu intéressé.e;Un peu intéressé.e;10 000 km
1/4/2022 0:51:06;Homme;24;Liège;A la campagne;4470;Entre 10 000 et 15 000;Moins de 10 000;Ont diminué;Bachelier;Etudiant;Non;Je vis confortablement avec mon revenu actuel;Non;Non;Non;Oui;3;2;Non;Une solution égale;Une moins bonne solution;Une meilleure solution;Une solution égale;Moyennement important;Moyennement important;Très important;Très important;Très important;Peu important;Très important;Très important;Fort important;Moyennement important;Pas du tout important;Moyennement important;Peu intéressé.e;Moyennement intéressé.e;Moyennement intéressé.e;Un peu intéressé.e;5 000 km
1/4/2022 7:33:14;Femme;29;Liège;A la campagne;4540;Plus de 20 000;Plus de 20 000;sont restés stables;Master;Employé;Oui;Je vis très confortablement avec mon revenu actuel;Non;Non;Non;Oui;2;3;Non;Une meilleure solution;Une solution égale;Une solution égale;Une moins bonne solution;Fort important;Moyennement important;Moyennement important;Très important;Très important;Très important;Très important;Très important;Fort important;Fort important;Fort important;Fort important;Un peu intéressé.e;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;20 000 km
1/4/2022 8:30:58;Femme;24;Namur;A la campagne;5380;Entre 10 000 et 15 000;Entre 10 000 et 15 000;Ont diminué;Master;Employé;Non;Je me débrouille avec mon revenu actuel;Non;Non;Non;Oui;2;4;Non;Une moins bonne solution;Une solution égale;Une solution égale;Une solution égale;Fort important;Moyennement important;Très important;Très important;Très important;Moyennement important;Très important;Fort important;Moyennement important;Fort important;Fort important;Peu important;Moyennement intéressé.e;Fortement intéressé.e;Moyennement intéressé.e;Moyennement intéressé.e;10 000 km
1/4/2022 9:22:41;Femme;24;Liège;En centre ville;4000;Moins de 10 000;Moins de 10 000;sont restés stables;Master;Employé;Oui;Je vis confortablement avec mon revenu actuel;Non;Non;Non;Oui;2;4;Non;Une moins bonne solution;Une meilleure solution;Une solution égale;Une meilleure solution;Très important;Fort important;Fort important;Fort important;Très important;Peu important;Moyennement important;Fort important;Fort important;Très important;Très important;Très important;Fortement intéressé.e;Fortement intéressé.e;Moyennement intéressé.e;Moyennement intéressé.e;1 000 km
1/4/2022 9:59:30;Homme;53;Liège;A la campagne;4540;Entre 10 000 et 15 000;Entre 10 000 et 15 000;sont restés stables;Secondaire;Employé;Non;Il est difficile de vivre avec mon revenu actuel;Non;Non;Non;Oui;1;5;Non;Une moins bonne solution;Une solution égale;Une moins bonne solution;Une solution égale;Fort important;Fort important;Fort important;Fort important;Fort important;Fort important;Fort important;Fort important;Moyennement important;Fort important;Fort important;Fort important;Fortement intéressé.e;Fortement intéressé.e;Un peu intéressé.e;Moyennement intéressé.e;5 000 km
1/4/2022 10:17:24;Femme;54;Liège;En périphérie;4860;Entre 15 000 et 20 000;Entre 15 000 et 20 000;sont restés stables;Master;Indépendant;Non;Je me débrouille avec mon revenu actuel;Oui;Non;Non;Oui;1;3;Non;Une moins bonne solution;Une solution égale;Une solution égale;Une solution égale;Fort important;Moyennement important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;10 000 km
1/4/2022 10:18:07;Femme;22;Hainaut;En périphérie;7012;Entre 10 000 et 15 000;Entre 10 000 et 15 000;Ont augmenté;Bachelier;Etudiant;Non;Je vis confortablement avec mon revenu actuel;Non;Non;Non;Non;1;4;Non;Une moins bonne solution;Une meilleure solution;Une solution égale;Une solution égale;Très important;Moyennement important;Fort important;Fort important;Moyennement important;Très important;Très important;Très important;Fort important;Fort important;Fort important;Fort important;Fortement intéressé.e;Fortement intéressé.e;Un peu intéressé.e;Un peu intéressé.e;5 000 km
1/4/2022 10:56:18;Homme;72;Liège;En périphérie;4680;Moins de 10 000;Moins de 10 000;Ont diminué;Secondaire;Retraité;Non;Je me débrouille avec mon revenu actuel;Non;Non;Non;Oui;2;5;Non;Une moins bonne solution;Une moins bonne solution;Une solution égale;Une meilleure solution;Fort important;Fort important;Fort important;Fort important;Fort important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Moyennement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;Moyennement intéressé.e;10 000 km
1/4/2022 10:56:48;Homme;60;Liège;A la campagne;4590;Entre 10 000 et 15 000;Moins de 10 000;Ont diminué;Master;Indépendant;Non;Il est difficile de vivre avec mon revenu actuel;Non;Non;Non;Oui;3;4;Oui, mais finalement je me suis dirigé.e vers autre chose (autre raison que la Covid-19);Une solution égale;Une solution égale;Une moins bonne solution;Une solution égale;Fort important;Fort important;Très important;Très important;Très important;Fort important;Très important;Très important;Fort important;Moyennement important;Moyennement important;Moyennement important;Fortement intéressé.e;Fortement intéressé.e;Pas du tout intéressé.e;Pas du tout intéressé.e;20 000 km
1/4/2022 11:04:31;Femme;60;Liège;A la campagne;4550;Entre 10 000 et 15 000;Entre 10 000 et 15 000;sont restés stables;Secondaire;Employé;Non;Je vis confortablement avec mon revenu actuel;Oui;Non;Non;Oui;2;5;Oui, je le voulais avant la Covid-19 et je le désire encore plus;Une moins bonne solution;Une meilleure solution;Une moins bonne solution;Une moins bonne solution;Fort important;Très important;Fort important;Très important;Moyennement important;Très important;Très important;Très important;Fort important;Très important;Très important;Très important;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;10 000 km
1/4/2022 11:27:57;Homme;69;Liège;A la campagne;4590;Entre 10 000 et 15 000;Entre 10 000 et 15 000;Ont diminué;Trop vieux ;Retraité;Non;Je me débrouille avec mon revenu actuel;Non;Non;Non;Oui;3;3;Oui, mais finalement je me suis dirigé.e vers autre chose (autre raison que la Covid-19);Une solution égale;Une moins bonne solution;Une solution égale;Une solution égale;Fort important;Moyennement important;Fort important;Moyennement important;Moyennement important;Peu important;Très important;Très important;Très important;Fort important;Fort important;Fort important;Fortement intéressé.e;Un peu intéressé.e;Pas du tout intéressé.e;Pas du tout intéressé.e;20 000 km
1/4/2022 11:57:09;Homme;55;Namur;En périphérie;5300;Plus de 20 000;Plus de 20 000;sont restés stables;Master;Employé;Non;Je vis confortablement avec mon revenu actuel;Non;Non;Non;Oui;4;1;Non;Une solution égale;Une solution égale;Une meilleure solution;Une solution égale;Fort important;Fort important;Moyennement important;Peu important;Peu important;Fort important;Fort important;Peu important;Moyennement important;Très important;Très important;Peu important;Pas du tout intéressé.e;Pas du tout intéressé.e;Pas du tout intéressé.e;Pas du tout intéressé.e;1 000 km
1/4/2022 12:03:34;Femme;24;Liège;En centre ville;4000;Moins de 10 000;Moins de 10 000;sont restés stables;Bachelier;Etudiant;Non;Je me débrouille avec mon revenu actuel;Non;Non;Non;Non;1;4;Non;Une moins bonne solution;Une solution égale;Une solution égale;Une solution égale;Très important;Moyennement important;Fort important;Fort important;Moyennement important;Fort important;Fort important;Fort important;Moyennement important;Fort important;Fort important;Moyennement important;Fortement intéressé.e;Fortement intéressé.e;Un peu intéressé.e;Un peu intéressé.e;5 000 km
1/4/2022 12:10:41;Homme;23;Liège;En périphérie;4121;Entre 15 000 et 20 000;Entre 10 000 et 15 000;Ont diminué;Bachelier;Etudiant;Non;Je vis confortablement avec mon revenu actuel;Non;Non;Oui;Oui;1;3;Non;Une solution égale;Une solution égale;Une solution égale;Une solution égale;Très important;Moyennement important;Très important;Très important;Très important;Fort important;Très important;Moyennement important;Fort important;Très important;Très important;Pas du tout important;Fortement intéressé.e;Un peu intéressé.e;Moyennement intéressé.e;Moyennement intéressé.e;10 000 km
1/4/2022 12:23:14;Homme;23;Liège;A la campagne;4550;Moins de 10 000;Moins de 10 000;Ont diminué;Master;Employé;Oui;Je vis confortablement avec mon revenu actuel;Non;Non;Non;Oui;4;5;Non;Une moins bonne solution;Une moins bonne solution;Une moins bonne solution;Une moins bonne solution;Très important;Pas du tout important;Très important;Très important;Très important;Très important;Très important;Fort important;Fort important;Très important;Très important;Moyennement important;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;5 000 km
1/4/2022 12:24:35;Homme;60;Région de Bruxelles-Capitale;En périphérie;1180;Entre 15 000 et 20 000;Entre 15 000 et 20 000;sont restés stables;Secondaire;Retraité;Non;Il est difficile de vivre avec mon revenu actuel;Non;Non;Non;Oui;4;5;Oui, mais finalement je me suis dirigé.e vers autre chose (autre raison que la Covid-19);Une moins bonne solution;Une moins bonne solution;Une moins bonne solution;Une moins bonne solution;Fort important;Très important;Fort important;Très important;Très important;Fort important;Très important;Très important;Très important;Très important;Fort important;Très important;Fortement intéressé.e;Un peu intéressé.e;Peu intéressé.e;Peu intéressé.e;10 000 km
1/4/2022 12:35:58;Homme;66;Liège;A la campagne;4280;Plus de 20 000;Plus de 20 000;sont restés stables;Secondaire;Retraité;Non;Je vis confortablement avec mon revenu actuel;Non;Non;Non;Oui;3;4;Non;Une meilleure solution;Une moins bonne solution;Une moins bonne solution;Une moins bonne solution;Fort important;Fort important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Un peu intéressé.e;Un peu intéressé.e;Pas du tout intéressé.e;Pas du tout intéressé.e;20 000 km
1/4/2022 12:42:07;Homme;55;Liège;A la campagne;4540;Plus de 20 000;Plus de 20 000;Ont diminué;Master;Employé;Non;Je me débrouille avec mon revenu actuel;Non;Non;Non;Oui;1;1;Non;Une solution égale;Une solution égale;Une solution égale;Une solution égale;Très important;Moyennement important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Un peu intéressé.e;Moyennement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;20 000 km
1/4/2022 12:48:49;Femme;22;Brabant Wallon;A la campagne;1390;Moins de 10 000;Moins de 10 000;sont restés stables;Master;Etudiant;Oui;Je vis très confortablement avec mon revenu actuel;Oui;Non;Oui;Oui;3;4;Non;Une moins bonne solution;Une moins bonne solution;Une solution égale;Une moins bonne solution;Très important;Fort important;Très important;Très important;Moyennement important;Très important;Fort important;Très important;Fort important;Moyennement important;Moyennement important;Moyennement important;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;20 000 km
1/4/2022 12:56:51;Homme;62;Brabant Wallon;A la campagne;1400;Moins de 10 000;Entre 15 000 et 20 000;Ont diminué;Bachelier;Retraité;Non;Je vis confortablement avec mon revenu actuel;Non;Non;Non;Oui;4;4;Non;Une moins bonne solution;Une solution égale;Une moins bonne solution;Une meilleure solution;Fort important;Moyennement important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Moyennement intéressé.e;Fortement intéressé.e;Moyennement intéressé.e;Moyennement intéressé.e;5 000 km
1/4/2022 12:56:58;Homme;67;Liège;A la campagne;4550;Entre 10 000 et 15 000;Moins de 10 000;Ont diminué;Licence ;Retraité;Non;Je me débrouille avec mon revenu actuel;Non;Non;Non;Oui;1;3;Non;Une solution égale;Une solution égale;Une solution égale;Une meilleure solution;Fort important;Moyennement important;Très important;Très important;Fort important;Très important;Très important;Très important;Fort important;Fort important;Fort important;Moyennement important;Un peu intéressé.e;Un peu intéressé.e;Pas du tout intéressé.e;Un peu intéressé.e;20 000 km
1/4/2022 13:03:50;Femme;21;Liège;A la campagne;4630;Entre 15 000 et 20 000;Entre 10 000 et 15 000;Ont diminué;Bachelier;Etudiant;Non;Je vis très confortablement avec mon revenu actuel;Oui;Non;Non;Oui;4;3;Non;Une solution égale;Une meilleure solution;Une meilleure solution;Une solution égale;Très important;Moyennement important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Fortement intéressé.e;Fortement intéressé.e;Un peu intéressé.e;Fortement intéressé.e;5 000 km
1/4/2022 13:05:03;Homme;23;Liège;En périphérie;4100;Moins de 10 000;Moins de 10 000;sont restés stables;Bachelier;Etudiant;Non;Je me débrouille avec mon revenu actuel;Non;Non;Non;Oui;3;5;Oui, je le voulais avant la Covid-19 et je le désire encore plus;Une moins bonne solution;Une moins bonne solution;Une moins bonne solution;Une moins bonne solution;Très important;Fort important;Très important;Fort important;Fort important;Très important;Très important;Très important;Pas du tout important;Très important;Très important;Très important;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;20 000 km
1/4/2022 13:06:33;Homme;19;Liège;A la campagne;5374;Moins de 10 000;Moins de 10 000;Ont diminué;Bachelier;Etudiant;Non;Il est difficile de vivre avec mon revenu actuel;Non;Non;Oui;Oui;4;3;Non;Une moins bonne solution;Une solution égale;Une solution égale;Une moins bonne solution;Fort important;Peu important;Moyennement important;Fort important;Pas du tout important;Peu important;Fort important;Peu important;Très important;Très important;Très important;Fort important;Moyennement intéressé.e;Moyennement intéressé.e;Un peu intéressé.e;Un peu intéressé.e;10 000 km
1/4/2022 13:12:29;Autre;18;Liège;En centre ville;4000;Entre 10 000 et 15 000;Moins de 10 000;Ont diminué;Bachelier;Etudiant;Non;Je vis confortablement avec mon revenu actuel;Oui;Oui;Oui;Oui;4;4;Non;Une moins bonne solution;Une solution égale;Une solution égale;Une moins bonne solution;Très important;Fort important;Très important;Très important;Très important;Très important;Très important;Très important;Moyennement important;Très important;Très important;Très important;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;10 000 km
1/4/2022 13:16:10;Homme;72;Liège;En périphérie;4430;Moins de 10 000;Moins de 10 000;Ont diminué;Graduat comptabilité ;Retraité;Non;Je me débrouille avec mon revenu actuel;Non;Non;Non;Oui;2;5;Non;Une moins bonne solution;Une moins bonne solution;Une solution égale;Une moins bonne solution;Très important;Moyennement important;Moyennement important;Fort important;Fort important;Fort important;Fort important;Fort important;Fort important;Fort important;Fort important;Très important;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;10 000 km
1/4/2022 13:16:21;Homme;20;Liège;A la campagne;4577;Entre 15 000 et 20 000;Entre 10 000 et 15 000;Ont diminué;Bachelier;Etudiant;Oui;Je vis confortablement avec mon revenu actuel;Non;Non;Non;Oui;4;4;Non;Une meilleure solution;Une solution égale;Une meilleure solution;Une solution égale;Fort important;Peu important;Très important;Très important;Très important;Très important;Très important;Très important;Moyennement important;Fort important;Fort important;Fort important;Fortement intéressé.e;Moyennement intéressé.e;Peu intéressé.e;Moyennement intéressé.e;5 000 km
1/4/2022 13:18:47;Homme;26;Liège;En périphérie;4031;Entre 10 000 et 15 000;Entre 10 000 et 15 000;sont restés stables;Master;Employé;Non;Je vis confortablement avec mon revenu actuel;Non;Non;Non;Oui;4;3;Non;Une solution égale;Une meilleure solution;Une solution égale;Une moins bonne solution;Très important;Moyennement important;Fort important;Très important;Fort important;Peu important;Très important;Fort important;Moyennement important;Très important;Pas du tout important;Pas du tout important;Moyennement intéressé.e;Un peu intéressé.e;Moyennement intéressé.e;Moyennement intéressé.e;10 000 km
1/4/2022 13:23:26;Femme;22;Liège;En périphérie;4870;Entre 10 000 et 15 000;Entre 10 000 et 15 000;sont restés stables;Bachelier;Etudiant;Non;Je vis confortablement avec mon revenu actuel;Non;Non;Non;Oui;3;4;Oui, je le voulais avant la Covid-19 et je le désire encore plus;Une meilleure solution;Une moins bonne solution;Une moins bonne solution;Une moins bonne solution;Très important;Peu important;Fort important;Fort important;Fort important;Très important;Fort important;Fort important;Moyennement important;Fort important;Fort important;Moyennement important;Fortement intéressé.e;Fortement intéressé.e;Un peu intéressé.e;Un peu intéressé.e;2 500 km
1/4/2022 13:24:06;Homme;56;Hainaut;En périphérie;7134;Plus de 20 000;Plus de 20 000;sont restés stables;Secondaire;Employé;Non;Je me débrouille avec mon revenu actuel;Non;Non;Non;Oui;2;3;Non;Une moins bonne solution;Une moins bonne solution;Une moins bonne solution;Une moins bonne solution;Très important;Fort important;Très important;Très important;Fort important;Très important;Très important;Très important;Fort important;Fort important;Fort important;Fort important;Fortement intéressé.e;Un peu intéressé.e;Fortement intéressé.e;Fortement intéressé.e;2 500 km
1/4/2022 13:26:54;Homme;21;Hainaut;A la campagne;7500;Plus de 20 000;Entre 15 000 et 20 000;Ont diminué;Bachelier;Etudiant;Oui;Je vis confortablement avec mon revenu actuel;Non;Non;Non;Oui;4;3;Non;Une meilleure solution;Une meilleure solution;Une solution égale;Une meilleure solution;Fort important;Pas du tout important;Fort important;Fort important;Fort important;Moyennement important;Très important;Fort important;Fort important;Fort important;Fort important;Fort important;Fortement intéressé.e;Moyennement intéressé.e;Un peu intéressé.e;Un peu intéressé.e;20 000 km
1/4/2022 13:33:58;Homme;24;Hainaut;En périphérie;6041;Entre 15 000 et 20 000;Entre 15 000 et 20 000;Ont diminué;Master;Etudiant;Non;Je me débrouille avec mon revenu actuel;Non;Non;Non;Oui;2;3;Non;Une moins bonne solution;Une moins bonne solution;Une moins bonne solution;Une solution égale;Très important;Moyennement important;Très important;Très important;Fort important;Très important;Très important;Moyennement important;Fort important;Moyennement important;Fort important;Pas du tout important;Moyennement intéressé.e;Un peu intéressé.e;Un peu intéressé.e;Un peu intéressé.e;20 000 km
1/4/2022 13:34:00;Homme;55;Région de Bruxelles-Capitale;En périphérie;1860;Plus de 20 000;Moins de 10 000;Ont diminué;Bachelier;Employé;Non;Je vis confortablement avec mon revenu actuel;Non;Non;Oui;Oui;5;5;Oui, je le voulais avant la Covid-19 et je le désire encore plus;Une moins bonne solution;Une moins bonne solution;Une solution égale;Une moins bonne solution;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;20 000 km
1/4/2022 13:39:59;Homme;64;Liège;En centre ville;4000;Entre 15 000 et 20 000;Entre 10 000 et 15 000;Ont diminué;Master;Retraité;Non;Je vis confortablement avec mon revenu actuel;Non;Non;Non;Oui;1;4;Non;Une moins bonne solution;Une solution égale;Une moins bonne solution;Une solution égale;Fort important;Moyennement important;Fort important;Très important;Moyennement important;Fort important;Fort important;Fort important;Fort important;Fort important;Fort important;Moyennement important;Un peu intéressé.e;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;10 000 km
1/4/2022 13:46:01;Homme;24;Liège;En centre ville;4000;Moins de 10 000;Moins de 10 000;sont restés stables;Master;Employé;Non;Je vis confortablement avec mon revenu actuel;Non;Non;Non;Oui;4;3;Non;Une moins bonne solution;Une moins bonne solution;Une moins bonne solution;Une solution égale;Très important;Moyennement important;Fort important;Fort important;Fort important;Très important;Très important;Très important;Très important;Très important;Très important;Peu important;Fortement intéressé.e;Moyennement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;5 000 km
1/4/2022 13:53:48;Homme;61;Liège;En périphérie;4000;Entre 15 000 et 20 000;Entre 10 000 et 15 000;sont restés stables;Secondaire;Chômeur;Oui;Il est difficile de vivre avec mon revenu actuel;Non;Non;Non;Non;2;4;Non;Une moins bonne solution;Une meilleure solution;Une moins bonne solution;Une moins bonne solution;Fort important;Moyennement important;Très important;Très important;Très important;Très important;Très important;Fort important;Fort important;Très important;Très important;Très important;Fortement intéressé.e;Fortement intéressé.e;Pas du tout intéressé.e;Pas du tout intéressé.e;20 000 km
1/4/2022 13:56:52;Femme;58;Liège;En périphérie;4000;Moins de 10 000;Moins de 10 000;sont restés stables;Secondaire;Retraité;Non;Je me débrouille avec mon revenu actuel;Non;Non;Non;Non;1;3;Non;Une moins bonne solution;Une solution égale;Une moins bonne solution;Une moins bonne solution;Moyennement important;Peu important;Fort important;Fort important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Fortement intéressé.e;Fortement intéressé.e;Pas du tout intéressé.e;Pas du tout intéressé.e;20 000 km
1/4/2022 13:57:38;Femme;58;Namur;A la campagne;5580;Plus de 20 000;Plus de 20 000;sont restés stables;Master;Employé;Oui;Je vis confortablement avec mon revenu actuel;Non;Non;Non;Oui;4;4;Non;Une meilleure solution;Une meilleure solution;Une meilleure solution;Une solution égale;Peu important;Peu important;Peu important;Fort important;Fort important;Moyennement important;Fort important;Moyennement important;Fort important;Fort important;Très important;Fort important;Peu intéressé.e;Pas du tout intéressé.e;Peu intéressé.e;Peu intéressé.e;20 000 km
1/4/2022 14:11:50;Homme;65;Liège;En périphérie;4041;Entre 10 000 et 15 000;Moins de 10 000;Ont diminué;Secondaire;Retraité;Non;Je me débrouille avec mon revenu actuel;Non;Non;Oui;Oui;1;5;Non;Une moins bonne solution;Une moins bonne solution;Une moins bonne solution;Une solution égale;Très important;Moyennement important;Fort important;Fort important;Peu important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Fortement intéressé.e;Fortement intéressé.e;Un peu intéressé.e;Fortement intéressé.e;10 000 km
1/4/2022 14:30:33;Homme;18;Namur;A la campagne;5501;Plus de 20 000;Entre 10 000 et 15 000;Ont diminué;Bachelier;Etudiant;Non;Je me débrouille avec mon revenu actuel;Non;Non;Oui;Oui;3;4;Non;Une moins bonne solution;Une moins bonne solution;Une solution égale;Une solution égale;Très important;Fort important;Moyennement important;Moyennement important;Fort important;Très important;Très important;Très important;Très important;Très important;Très important;Fort important;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;20 000 km
1/4/2022 14:40:08;Homme;23;Liège;En périphérie;4680;Entre 10 000 et 15 000;Moins de 10 000;Ont diminué;Master;Etudiant;Non;Je me débrouille avec mon revenu actuel;Non;Non;Non;Oui;4;5;Oui, je le voulais avant la Covid-19 et je le désire encore plus;Une moins bonne solution;Une moins bonne solution;Une solution égale;Une moins bonne solution;Fort important;Peu important;Fort important;Fort important;Fort important;Fort important;Fort important;Fort important;Fort important;Fort important;Fort important;Fort important;Fortement intéressé.e;Fortement intéressé.e;Moyennement intéressé.e;Moyennement intéressé.e;10 000 km
1/4/2022 14:42:28;Homme;18;Luxembourg;A la campagne;6960;Entre 10 000 et 15 000;Entre 10 000 et 15 000;sont restés stables;Bachelier;Etudiant;Non;Je vis confortablement avec mon revenu actuel;Non;Non;Non;Oui;3;3;Non;Une moins bonne solution;Une moins bonne solution;Une moins bonne solution;Une moins bonne solution;Fort important;Moyennement important;Moyennement important;Moyennement important;Moyennement important;Très important;Très important;Très important;Très important;Très important;Très important;Fort important;Un peu intéressé.e;Un peu intéressé.e;Fortement intéressé.e;Fortement intéressé.e;10 000 km
1/4/2022 14:57:39;Homme;72;Liège;En périphérie;4052;Moins de 10 000;Moins de 10 000;sont restés stables;Secondaire;Retraité;Non;Je vis confortablement avec mon revenu actuel;Oui;Non;Non;Oui;3;4;Non;Une solution égale;Une moins bonne solution;Une moins bonne solution;Une solution égale;Moyennement important;Fort important;Fort important;Fort important;Fort important;Moyennement important;Fort important;Fort important;Moyennement important;Fort important;Moyennement important;Moyennement important;Fortement intéressé.e;Un peu intéressé.e;Pas du tout intéressé.e;Pas du tout intéressé.e;20 000 km
1/4/2022 15:07:24;Homme;19;Liège;A la campagne;4671;Moins de 10 000;Moins de 10 000;Ont diminué;Bachelier;Etudiant;Non;Je vis confortablement avec mon revenu actuel;Non;Non;Non;Oui;3;5;Non;Une moins bonne solution;Une solution égale;Une solution égale;Une solution égale;Fort important;Moyennement important;Très important;Fort important;Fort important;Moyennement important;Très important;Fort important;Moyennement important;Fort important;Fort important;Fort important;Fortement intéressé.e;Un peu intéressé.e;Un peu intéressé.e;Un peu intéressé.e;20 000 km
1/4/2022 15:14:42;Homme;25;Liège;A la campagne;4550;Entre 10 000 et 15 000;Moins de 10 000;Ont diminué;Bachelier;Employé;Non;Je me débrouille avec mon revenu actuel;Oui;Non;Oui;Oui;3;5;Non;Une solution égale;Une solution égale;Une moins bonne solution;Une moins bonne solution;Très important;Pas du tout important;Très important;Très important;Très important;Très important;Très important;Très important;Pas du tout important;Fort important;Fort important;Moyennement important;Fortement intéressé.e;Fortement intéressé.e;Pas du tout intéressé.e;Pas du tout intéressé.e;20 000 km
