sex,age,Province,livingPlace,zipCode,kmYear_beforeCovid,kmYear_afterCovid,BeforeAfterCovid,studyYear,Profession,environment_Know,revenu,had_Inondation,had_Fire,had_Pollution,H2_Know,know_Evaluation,h2_VS_envi,carH2_idea,conventional_car,hybrides_car,electric_car,gaz_car,subject_know,law_elaboration,h2_purchasePrice,h2_price,otherfuel_price,h2_security,h2_station,h2_automony,dimImportation,gazReduction,atmos_reduction_urban,Belgium_company,everything_equal,subside,diesel_no_in_town,essence_no_in_town,km_limitation
Homme,24,Liège,A la campagne,4470,Entre 10 000 et 15 000,Moins de 10 000,Ont diminué,Bachelier,Etudiant,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,3,2,Non,Une solution égale,Une moins bonne solution,Une meilleure solution,Une solution égale,Moyennement important,Moyennement important,Très important,Très important,Très important,Peu important,Très important,Très important,Fort important,Moyennement important,Pas du tout important,Moyennement important,Peu intéressé.e,Moyennement intéressé.e,Moyennement intéressé.e,Un peu intéressé.e,5 000 km
Femme,29,Liège,A la campagne,4540,Plus de 20 000,Plus de 20 000,sont restés stables,Master,Employé,Oui,Je vis très confortablement avec mon revenu actuel,Non,Non,Non,Oui,2,3,Non,Une meilleure solution,Une solution égale,Une solution égale,Une moins bonne solution,Fort important,Moyennement important,Moyennement important,Très important,Très important,Très important,Très important,Très important,Fort important,Fort important,Fort important,Fort important,Un peu intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,20 000 km
Femme,24,Namur,A la campagne,5380,Entre 10 000 et 15 000,Entre 10 000 et 15 000,Ont diminué,Master,Employé,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,2,4,Non,Une moins bonne solution,Une solution égale,Une solution égale,Une solution égale,Fort important,Moyennement important,Très important,Très important,Très important,Moyennement important,Très important,Fort important,Moyennement important,Fort important,Fort important,Peu important,Moyennement intéressé.e,Fortement intéressé.e,Moyennement intéressé.e,Moyennement intéressé.e,10 000 km
Femme,24,Liège,En centre ville,4000,Moins de 10 000,Moins de 10 000,sont restés stables,Master,Employé,Oui,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,2,4,Non,Une moins bonne solution,Une meilleure solution,Une solution égale,Une meilleure solution,Très important,Fort important,Fort important,Fort important,Très important,Peu important,Moyennement important,Fort important,Fort important,Très important,Très important,Très important,Fortement intéressé.e,Fortement intéressé.e,Moyennement intéressé.e,Moyennement intéressé.e,1 000 km
Homme,53,Liège,A la campagne,4540,Entre 10 000 et 15 000,Entre 10 000 et 15 000,sont restés stables,Secondaire,Employé,Non,Il est difficile de vivre avec mon revenu actuel,Non,Non,Non,Oui,1,5,Non,Une moins bonne solution,Une solution égale,Une moins bonne solution,Une solution égale,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Moyennement important,Fort important,Fort important,Fort important,Fortement intéressé.e,Fortement intéressé.e,Un peu intéressé.e,Moyennement intéressé.e,5 000 km
Femme,54,Liège,En périphérie,4860,Entre 15 000 et 20 000,Entre 15 000 et 20 000,sont restés stables,Master,Indépendant,Non,Je me débrouille avec mon revenu actuel,Oui,Non,Non,Oui,1,3,Non,Une moins bonne solution,Une solution égale,Une solution égale,Une solution égale,Fort important,Moyennement important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,10 000 km
Femme,22,Hainaut,En périphérie,7012,Entre 10 000 et 15 000,Entre 10 000 et 15 000,Ont augmenté,Bachelier,Etudiant,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Non,1,4,Non,Une moins bonne solution,Une meilleure solution,Une solution égale,Une solution égale,Très important,Moyennement important,Fort important,Fort important,Moyennement important,Très important,Très important,Très important,Fort important,Fort important,Fort important,Fort important,Fortement intéressé.e,Fortement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,5 000 km
Homme,72,Liège,En périphérie,4680,Moins de 10 000,Moins de 10 000,Ont diminué,Secondaire,Retraité,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,2,5,Non,Une moins bonne solution,Une moins bonne solution,Une solution égale,Une meilleure solution,Fort important,Fort important,Fort important,Fort important,Fort important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Moyennement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Moyennement intéressé.e,10 000 km
Homme,60,Liège,A la campagne,4590,Entre 10 000 et 15 000,Moins de 10 000,Ont diminué,Master,Indépendant,Non,Il est difficile de vivre avec mon revenu actuel,Non,Non,Non,Oui,3,4,"Oui, mais finalement je me suis dirigé.e vers autre chose (autre raison que la Covid-19)",Une solution égale,Une solution égale,Une moins bonne solution,Une solution égale,Fort important,Fort important,Très important,Très important,Très important,Fort important,Très important,Très important,Fort important,Moyennement important,Moyennement important,Moyennement important,Fortement intéressé.e,Fortement intéressé.e,Pas du tout intéressé.e,Pas du tout intéressé.e,20 000 km
Femme,60,Liège,A la campagne,4550,Entre 10 000 et 15 000,Entre 10 000 et 15 000,sont restés stables,Secondaire,Employé,Non,Je vis confortablement avec mon revenu actuel,Oui,Non,Non,Oui,2,5,"Oui, je le voulais avant la Covid-19 et je le désire encore plus",Une moins bonne solution,Une meilleure solution,Une moins bonne solution,Une moins bonne solution,Fort important,Très important,Fort important,Très important,Moyennement important,Très important,Très important,Très important,Fort important,Très important,Très important,Très important,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,10 000 km
Homme,69,Liège,A la campagne,4590,Entre 10 000 et 15 000,Entre 10 000 et 15 000,Ont diminué,Trop vieux ,Retraité,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,3,3,"Oui, mais finalement je me suis dirigé.e vers autre chose (autre raison que la Covid-19)",Une solution égale,Une moins bonne solution,Une solution égale,Une solution égale,Fort important,Moyennement important,Fort important,Moyennement important,Moyennement important,Peu important,Très important,Très important,Très important,Fort important,Fort important,Fort important,Fortement intéressé.e,Un peu intéressé.e,Pas du tout intéressé.e,Pas du tout intéressé.e,20 000 km
Homme,55,Namur,En périphérie,5300,Plus de 20 000,Plus de 20 000,sont restés stables,Master,Employé,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,4,1,Non,Une solution égale,Une solution égale,Une meilleure solution,Une solution égale,Fort important,Fort important,Moyennement important,Peu important,Peu important,Fort important,Fort important,Peu important,Moyennement important,Très important,Très important,Peu important,Pas du tout intéressé.e,Pas du tout intéressé.e,Pas du tout intéressé.e,Pas du tout intéressé.e,1 000 km
Femme,24,Liège,En centre ville,4000,Moins de 10 000,Moins de 10 000,sont restés stables,Bachelier,Etudiant,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Non,1,4,Non,Une moins bonne solution,Une solution égale,Une solution égale,Une solution égale,Très important,Moyennement important,Fort important,Fort important,Moyennement important,Fort important,Fort important,Fort important,Moyennement important,Fort important,Fort important,Moyennement important,Fortement intéressé.e,Fortement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,5 000 km
Homme,23,Liège,En périphérie,4121,Entre 15 000 et 20 000,Entre 10 000 et 15 000,Ont diminué,Bachelier,Etudiant,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Oui,Oui,1,3,Non,Une solution égale,Une solution égale,Une solution égale,Une solution égale,Très important,Moyennement important,Très important,Très important,Très important,Fort important,Très important,Moyennement important,Fort important,Très important,Très important,Pas du tout important,Fortement intéressé.e,Un peu intéressé.e,Moyennement intéressé.e,Moyennement intéressé.e,10 000 km
Homme,23,Liège,A la campagne,4550,Moins de 10 000,Moins de 10 000,Ont diminué,Master,Employé,Oui,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,4,5,Non,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Très important,Pas du tout important,Très important,Très important,Très important,Très important,Très important,Fort important,Fort important,Très important,Très important,Moyennement important,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,5 000 km
Homme,60,Région de Bruxelles-Capitale,En périphérie,1180,Entre 15 000 et 20 000,Entre 15 000 et 20 000,sont restés stables,Secondaire,Retraité,Non,Il est difficile de vivre avec mon revenu actuel,Non,Non,Non,Oui,4,5,"Oui, mais finalement je me suis dirigé.e vers autre chose (autre raison que la Covid-19)",Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Fort important,Très important,Fort important,Très important,Très important,Fort important,Très important,Très important,Très important,Très important,Fort important,Très important,Fortement intéressé.e,Un peu intéressé.e,Peu intéressé.e,Peu intéressé.e,10 000 km
Homme,66,Liège,A la campagne,4280,Plus de 20 000,Plus de 20 000,sont restés stables,Secondaire,Retraité,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,3,4,Non,Une meilleure solution,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Fort important,Fort important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Un peu intéressé.e,Un peu intéressé.e,Pas du tout intéressé.e,Pas du tout intéressé.e,20 000 km
Homme,55,Liège,A la campagne,4540,Plus de 20 000,Plus de 20 000,Ont diminué,Master,Employé,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,1,1,Non,Une solution égale,Une solution égale,Une solution égale,Une solution égale,Très important,Moyennement important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Un peu intéressé.e,Moyennement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,20 000 km
Femme,22,Brabant Wallon,A la campagne,1390,Moins de 10 000,Moins de 10 000,sont restés stables,Master,Etudiant,Oui,Je vis très confortablement avec mon revenu actuel,Oui,Non,Oui,Oui,3,4,Non,Une moins bonne solution,Une moins bonne solution,Une solution égale,Une moins bonne solution,Très important,Fort important,Très important,Très important,Moyennement important,Très important,Fort important,Très important,Fort important,Moyennement important,Moyennement important,Moyennement important,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,20 000 km
Homme,62,Brabant Wallon,A la campagne,1400,Moins de 10 000,Entre 15 000 et 20 000,Ont diminué,Bachelier,Retraité,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,4,4,Non,Une moins bonne solution,Une solution égale,Une moins bonne solution,Une meilleure solution,Fort important,Moyennement important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Moyennement intéressé.e,Fortement intéressé.e,Moyennement intéressé.e,Moyennement intéressé.e,5 000 km
Homme,67,Liège,A la campagne,4550,Entre 10 000 et 15 000,Moins de 10 000,Ont diminué,Licence ,Retraité,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,1,3,Non,Une solution égale,Une solution égale,Une solution égale,Une meilleure solution,Fort important,Moyennement important,Très important,Très important,Fort important,Très important,Très important,Très important,Fort important,Fort important,Fort important,Moyennement important,Un peu intéressé.e,Un peu intéressé.e,Pas du tout intéressé.e,Un peu intéressé.e,20 000 km
Femme,21,Liège,A la campagne,4630,Entre 15 000 et 20 000,Entre 10 000 et 15 000,Ont diminué,Bachelier,Etudiant,Non,Je vis très confortablement avec mon revenu actuel,Oui,Non,Non,Oui,4,3,Non,Une solution égale,Une meilleure solution,Une meilleure solution,Une solution égale,Très important,Moyennement important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Fortement intéressé.e,Fortement intéressé.e,Un peu intéressé.e,Fortement intéressé.e,5 000 km
Homme,23,Liège,En périphérie,4100,Moins de 10 000,Moins de 10 000,sont restés stables,Bachelier,Etudiant,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,3,5,"Oui, je le voulais avant la Covid-19 et je le désire encore plus",Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Très important,Fort important,Très important,Fort important,Fort important,Très important,Très important,Très important,Pas du tout important,Très important,Très important,Très important,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,20 000 km
Homme,19,Liège,A la campagne,5374,Moins de 10 000,Moins de 10 000,Ont diminué,Bachelier,Etudiant,Non,Il est difficile de vivre avec mon revenu actuel,Non,Non,Oui,Oui,4,3,Non,Une moins bonne solution,Une solution égale,Une solution égale,Une moins bonne solution,Fort important,Peu important,Moyennement important,Fort important,Pas du tout important,Peu important,Fort important,Peu important,Très important,Très important,Très important,Fort important,Moyennement intéressé.e,Moyennement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,10 000 km
Autre,18,Liège,En centre ville,4000,Entre 10 000 et 15 000,Moins de 10 000,Ont diminué,Bachelier,Etudiant,Non,Je vis confortablement avec mon revenu actuel,Oui,Oui,Oui,Oui,4,4,Non,Une moins bonne solution,Une solution égale,Une solution égale,Une moins bonne solution,Très important,Fort important,Très important,Très important,Très important,Très important,Très important,Très important,Moyennement important,Très important,Très important,Très important,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,10 000 km
Homme,72,Liège,En périphérie,4430,Moins de 10 000,Moins de 10 000,Ont diminué,Graduat comptabilité ,Retraité,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,2,5,Non,Une moins bonne solution,Une moins bonne solution,Une solution égale,Une moins bonne solution,Très important,Moyennement important,Moyennement important,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Très important,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,10 000 km
Homme,20,Liège,A la campagne,4577,Entre 15 000 et 20 000,Entre 10 000 et 15 000,Ont diminué,Bachelier,Etudiant,Oui,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,4,4,Non,Une meilleure solution,Une solution égale,Une meilleure solution,Une solution égale,Fort important,Peu important,Très important,Très important,Très important,Très important,Très important,Très important,Moyennement important,Fort important,Fort important,Fort important,Fortement intéressé.e,Moyennement intéressé.e,Peu intéressé.e,Moyennement intéressé.e,5 000 km
Homme,26,Liège,En périphérie,4031,Entre 10 000 et 15 000,Entre 10 000 et 15 000,sont restés stables,Master,Employé,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,4,3,Non,Une solution égale,Une meilleure solution,Une solution égale,Une moins bonne solution,Très important,Moyennement important,Fort important,Très important,Fort important,Peu important,Très important,Fort important,Moyennement important,Très important,Pas du tout important,Pas du tout important,Moyennement intéressé.e,Un peu intéressé.e,Moyennement intéressé.e,Moyennement intéressé.e,10 000 km
Femme,22,Liège,En périphérie,4870,Entre 10 000 et 15 000,Entre 10 000 et 15 000,sont restés stables,Bachelier,Etudiant,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,3,4,"Oui, je le voulais avant la Covid-19 et je le désire encore plus",Une meilleure solution,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Très important,Peu important,Fort important,Fort important,Fort important,Très important,Fort important,Fort important,Moyennement important,Fort important,Fort important,Moyennement important,Fortement intéressé.e,Fortement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,2 500 km
Homme,56,Hainaut,En périphérie,7134,Plus de 20 000,Plus de 20 000,sont restés stables,Secondaire,Employé,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,2,3,Non,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Très important,Fort important,Très important,Très important,Fort important,Très important,Très important,Très important,Fort important,Fort important,Fort important,Fort important,Fortement intéressé.e,Un peu intéressé.e,Fortement intéressé.e,Fortement intéressé.e,2 500 km
Homme,21,Hainaut,A la campagne,7500,Plus de 20 000,Entre 15 000 et 20 000,Ont diminué,Bachelier,Etudiant,Oui,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,4,3,Non,Une meilleure solution,Une meilleure solution,Une solution égale,Une meilleure solution,Fort important,Pas du tout important,Fort important,Fort important,Fort important,Moyennement important,Très important,Fort important,Fort important,Fort important,Fort important,Fort important,Fortement intéressé.e,Moyennement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,20 000 km
Homme,24,Hainaut,En périphérie,6041,Entre 15 000 et 20 000,Entre 15 000 et 20 000,Ont diminué,Master,Etudiant,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,2,3,Non,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Une solution égale,Très important,Moyennement important,Très important,Très important,Fort important,Très important,Très important,Moyennement important,Fort important,Moyennement important,Fort important,Pas du tout important,Moyennement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,Un peu intéressé.e,20 000 km
Homme,55,Région de Bruxelles-Capitale,En périphérie,1860,Plus de 20 000,Moins de 10 000,Ont diminué,Bachelier,Employé,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Oui,Oui,5,5,"Oui, je le voulais avant la Covid-19 et je le désire encore plus",Une moins bonne solution,Une moins bonne solution,Une solution égale,Une moins bonne solution,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,20 000 km
Homme,64,Liège,En centre ville,4000,Entre 15 000 et 20 000,Entre 10 000 et 15 000,Ont diminué,Master,Retraité,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,1,4,Non,Une moins bonne solution,Une solution égale,Une moins bonne solution,Une solution égale,Fort important,Moyennement important,Fort important,Très important,Moyennement important,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Moyennement important,Un peu intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,10 000 km
Homme,24,Liège,En centre ville,4000,Moins de 10 000,Moins de 10 000,sont restés stables,Master,Employé,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,4,3,Non,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Une solution égale,Très important,Moyennement important,Fort important,Fort important,Fort important,Très important,Très important,Très important,Très important,Très important,Très important,Peu important,Fortement intéressé.e,Moyennement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,5 000 km
Homme,61,Liège,En périphérie,4000,Entre 15 000 et 20 000,Entre 10 000 et 15 000,sont restés stables,Secondaire,Chômeur,Oui,Il est difficile de vivre avec mon revenu actuel,Non,Non,Non,Non,2,4,Non,Une moins bonne solution,Une meilleure solution,Une moins bonne solution,Une moins bonne solution,Fort important,Moyennement important,Très important,Très important,Très important,Très important,Très important,Fort important,Fort important,Très important,Très important,Très important,Fortement intéressé.e,Fortement intéressé.e,Pas du tout intéressé.e,Pas du tout intéressé.e,20 000 km
Femme,58,Liège,En périphérie,4000,Moins de 10 000,Moins de 10 000,sont restés stables,Secondaire,Retraité,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Non,1,3,Non,Une moins bonne solution,Une solution égale,Une moins bonne solution,Une moins bonne solution,Moyennement important,Peu important,Fort important,Fort important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Fortement intéressé.e,Fortement intéressé.e,Pas du tout intéressé.e,Pas du tout intéressé.e,20 000 km
Femme,58,Namur,A la campagne,5580,Plus de 20 000,Plus de 20 000,sont restés stables,Master,Employé,Oui,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,4,4,Non,Une meilleure solution,Une meilleure solution,Une meilleure solution,Une solution égale,Peu important,Peu important,Peu important,Fort important,Fort important,Moyennement important,Fort important,Moyennement important,Fort important,Fort important,Très important,Fort important,Peu intéressé.e,Pas du tout intéressé.e,Peu intéressé.e,Peu intéressé.e,20 000 km
Homme,65,Liège,En périphérie,4041,Entre 10 000 et 15 000,Moins de 10 000,Ont diminué,Secondaire,Retraité,Non,Je me débrouille avec mon revenu actuel,Non,Non,Oui,Oui,1,5,Non,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Une solution égale,Très important,Moyennement important,Fort important,Fort important,Peu important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Fortement intéressé.e,Fortement intéressé.e,Un peu intéressé.e,Fortement intéressé.e,10 000 km
Homme,18,Namur,A la campagne,5501,Plus de 20 000,Entre 10 000 et 15 000,Ont diminué,Bachelier,Etudiant,Non,Je me débrouille avec mon revenu actuel,Non,Non,Oui,Oui,3,4,Non,Une moins bonne solution,Une moins bonne solution,Une solution égale,Une solution égale,Très important,Fort important,Moyennement important,Moyennement important,Fort important,Très important,Très important,Très important,Très important,Très important,Très important,Fort important,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,20 000 km
Homme,23,Liège,En périphérie,4680,Entre 10 000 et 15 000,Moins de 10 000,Ont diminué,Master,Etudiant,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,4,5,"Oui, je le voulais avant la Covid-19 et je le désire encore plus",Une moins bonne solution,Une moins bonne solution,Une solution égale,Une moins bonne solution,Fort important,Peu important,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Fortement intéressé.e,Fortement intéressé.e,Moyennement intéressé.e,Moyennement intéressé.e,10 000 km
Homme,18,Luxembourg,A la campagne,6960,Entre 10 000 et 15 000,Entre 10 000 et 15 000,sont restés stables,Bachelier,Etudiant,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,3,3,Non,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Fort important,Moyennement important,Moyennement important,Moyennement important,Moyennement important,Très important,Très important,Très important,Très important,Très important,Très important,Fort important,Un peu intéressé.e,Un peu intéressé.e,Fortement intéressé.e,Fortement intéressé.e,10 000 km
Homme,72,Liège,En périphérie,4052,Moins de 10 000,Moins de 10 000,sont restés stables,Secondaire,Retraité,Non,Je vis confortablement avec mon revenu actuel,Oui,Non,Non,Oui,3,4,Non,Une solution égale,Une moins bonne solution,Une moins bonne solution,Une solution égale,Moyennement important,Fort important,Fort important,Fort important,Fort important,Moyennement important,Fort important,Fort important,Moyennement important,Fort important,Moyennement important,Moyennement important,Fortement intéressé.e,Un peu intéressé.e,Pas du tout intéressé.e,Pas du tout intéressé.e,20 000 km
Homme,19,Liège,A la campagne,4671,Moins de 10 000,Moins de 10 000,Ont diminué,Bachelier,Etudiant,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,3,5,Non,Une moins bonne solution,Une solution égale,Une solution égale,Une solution égale,Fort important,Moyennement important,Très important,Fort important,Fort important,Moyennement important,Très important,Fort important,Moyennement important,Fort important,Fort important,Fort important,Fortement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,Un peu intéressé.e,20 000 km
Homme,25,Liège,A la campagne,4550,Entre 10 000 et 15 000,Moins de 10 000,Ont diminué,Bachelier,Employé,Non,Je me débrouille avec mon revenu actuel,Oui,Non,Oui,Oui,3,5,Non,Une solution égale,Une solution égale,Une moins bonne solution,Une moins bonne solution,Très important,Pas du tout important,Très important,Très important,Très important,Très important,Très important,Très important,Pas du tout important,Fort important,Fort important,Moyennement important,Fortement intéressé.e,Fortement intéressé.e,Pas du tout intéressé.e,Pas du tout intéressé.e,20 000 km
Homme,24,Liège,En centre ville,4000,Moins de 10 000,Moins de 10 000,sont restés stables,Master,Etudiant,Oui,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,5,3,"Oui, mais finalement je me suis dirigé.e vers autre chose (autre raison que la Covid-19)",Une solution égale,Une meilleure solution,Une meilleure solution,Une solution égale,Peu important,Peu important,Fort important,Très important,Fort important,Très important,Très important,Très important,Fort important,Fort important,Fort important,Très important,Un peu intéressé.e,Moyennement intéressé.e,Peu intéressé.e,Peu intéressé.e,10 000 km
Homme,27,Liège,En centre ville,4020,Moins de 10 000,Moins de 10 000,sont restés stables,Master,Employé,Non,Je vis confortablement avec mon revenu actuel,Non,Oui,Non,Oui,4,4,Non,Une moins bonne solution,Une solution égale,Une solution égale,Une moins bonne solution,Fort important,Pas du tout important,Fort important,Moyennement important,Très important,Fort important,Très important,Très important,Très important,Très important,Très important,Moyennement important,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,5 000 km
Homme,26,Liège,A la campagne,4121,Plus de 20 000,Plus de 20 000,sont restés stables,Master,Employé,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Non,1,3,Non,Une moins bonne solution,Une solution égale,Une meilleure solution,Une solution égale,Très important,Moyennement important,Moyennement important,Moyennement important,Fort important,Fort important,Très important,Très important,Fort important,Fort important,Fort important,Fort important,Un peu intéressé.e,Peu intéressé.e,Un peu intéressé.e,Un peu intéressé.e,20 000 km
Homme,26,Liège,En centre ville,4000,Moins de 10 000,Moins de 10 000,Ont diminué,Master,Employé,Oui,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,4,4,Non,Une moins bonne solution,Une moins bonne solution,Une solution égale,Une moins bonne solution,Fort important,Peu important,Très important,Très important,Fort important,Fort important,Très important,Très important,Très important,Très important,Très important,Fort important,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,5 000 km
Femme,23,Namur,A la campagne,5380,Plus de 20 000,Plus de 20 000,sont restés stables,Master,Employé,Oui,Je vis très confortablement avec mon revenu actuel,Non,Non,Non,Oui,4,2,Non,Une solution égale,Une meilleure solution,Une meilleure solution,Une meilleure solution,Peu important,Peu important,Fort important,Très important,Très important,Très important,Très important,Très important,Fort important,Moyennement important,Très important,Peu important,Pas du tout intéressé.e,Peu intéressé.e,Moyennement intéressé.e,Un peu intéressé.e,20 000 km
Homme,45,Hainaut,A la campagne,7390,Moins de 10 000,Moins de 10 000,sont restés stables,Professionnel,Chômeur,Non,Il est très difficile de vivre avec mon revenu actuel.,Non,Non,Oui,Oui,2,2,Non,Une solution égale,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Très important,Moyennement important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Fortement intéressé.e,Fortement intéressé.e,Moyennement intéressé.e,Moyennement intéressé.e,20 000 km
Homme,64,Luxembourg,A la campagne,6960,Plus de 20 000,Entre 10 000 et 15 000,Ont diminué,Bachelier,Retraité,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,3,4,Non,Une moins bonne solution,Une solution égale,Une moins bonne solution,Une meilleure solution,Très important,Moyennement important,Fort important,Moyennement important,Moyennement important,Très important,Très important,Fort important,Moyennement important,Très important,Très important,Très important,Fortement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,Moyennement intéressé.e,10 000 km
Femme,24,Région de Bruxelles-Capitale,En périphérie,1200,Moins de 10 000,Moins de 10 000,Ont augmenté,Master,Employé,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,4,3,Non,Une moins bonne solution,Une moins bonne solution,Une solution égale,Une moins bonne solution,Fort important,Pas du tout important,Fort important,Fort important,Fort important,Très important,Très important,Très important,Très important,Très important,Très important,Peu important,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,20 000 km
Femme,24,Liège,En centre ville,4020,Moins de 10 000,Entre 10 000 et 15 000,Ont augmenté,Master,Indépendant,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,1,5,Non,Une moins bonne solution,Une solution égale,Une moins bonne solution,Une solution égale,Très important,Moyennement important,Fort important,Très important,Fort important,Très important,Très important,Très important,Fort important,Très important,Très important,Fort important,Fortement intéressé.e,Fortement intéressé.e,Un peu intéressé.e,Fortement intéressé.e,20 000 km
